date,20_ER,20_MKT,40_ER,40_MKT,45_ER,45_MKT,10_ER,10_MKT,25_ER,25_MKT,50_ER,50_MKT,55_ER,55_MKT,35_ER,35_MKT,30_ER,30_MKT,15_ER,15_MKT,60_ER,60_MKT
2001-03-30,-0.032096083745214735,1076634.63004233,-0.04299653562889025,2043487.88572343,-0.0365548530506408,2059963.4083823496,-0.02134382506574136,624748.53669991,0.012692398069934222,678555.95118808,0.019913289111438064,1163602.87016625,-0.01962989402899386,372047.38563237,-0.044016704296052415,1595273.91708099,-0.021220487421918587,948784.1441454301,-0.03126799118260509,224231.88282094998,-0.018006725078442858,158802.85078906998
2001-04-27,-0.002260739764349598,1220186.35246917,-0.0029410976216570203,2162019.65829341,-0.05292147966232786,2247339.97260326,0.004736411671159631,673626.7244107501,0.0031957319268514682,706912.3787940601,-0.023541297274926598,1225710.54561106,0.024849097683634948,395701.63278466,0.007320408622301291,1666776.4107972798,0.006814323513367152,954757.6379982799,-0.0014126566221310264,234015.76833713002,-0.0033794263405193875,158526.93818634
2001-05-25,0.02162740244129957,1367878.3127338702,0.02523613449406271,2290811.8617613497,0.03440973366138063,2481676.4170322,0.012027299625450159,698373.82510701,0.022693500030248927,779513.9841835401,0.015082374286327681,1333879.89219059,0.02031703974372532,405145.34492346004,0.02213403551208324,1799332.72315607,0.007120417615411899,994979.02113281,0.0026623188877462753,263099.92371518,0.011870188686864276,164823.12036950004
2001-06-29,0.034680440126164315,1269738.440634,0.04377557560357162,2291468.13927439,0.05540541592017316,2117086.58834951,0.02006765898700513,635750.0182819,0.03885067584156754,753799.31575463,0.03723444204957203,1219033.04138281,0.025600142009992034,367238.92684406997,0.01056771932654122,1735984.76742608,-0.004602025334905989,957552.9419973,0.010842108012374285,238640.84720481996,0.012587828250445743,168829.48599195
2001-07-27,-0.003100923280916532,1227406.89244447,0.013185789451177926,2236787.72091299,-0.015329475096333926,2035907.23041855,-0.006286030071570546,599952.7817313799,0.01803632614219649,773147.37080891,0.011211052246955604,1191513.93347925,0.003668693441142515,350339.68368153,-0.004014962206105026,1718592.87565007,-0.007526289151441824,973104.62000953,-0.013964970765728807,240344.40393669994,-0.0003262576714326982,172178.40123750002
2001-08-31,-0.024346677459772783,1195675.31766627,-0.00714906328842317,2194076.0963732097,-0.0823035860641651,2006556.93834968,-0.024819548821917222,588668.5011022001,0.001492316506190247,749690.62740625,-0.0294563258224721,1154019.77352339,0.0009826810766307979,365184.42915973003,-0.016055110599255955,1784971.15495291,-0.006613373352202319,1021941.38572974,-0.008970903048116728,244360.52038315995,0.006283039584829425,178856.5790738
2001-09-28,-0.05099222973748763,993830.3022422702,-0.0299561491207852,1893321.3055848,-0.11146172229726499,1516591.24020063,-0.050052869403647324,487770.74400367,-0.04942102087806276,598632.2673379001,-0.023481186980706358,1036346.63481283,-0.03730299010176708,337587.09288933,-0.008717435652335261,1581259.7725754902,-0.001656876568888181,946111.8887871401,-0.031075972061212525,204613.66612557002,-0.015674395792432905,157702.26579891
2001-10-26,-0.027476510178167095,1070401.80845122,-0.013559961815737933,2051933.12755587,-0.028010507384554684,1758785.06882147,-0.013584415698438117,590852.2170787199,-0.02118964783786972,671016.1201164001,-0.028057596975564585,1025340.0178629097,-0.0186882603309944,342498.90612821997,0.009156977895281635,1782014.89997512,0.007596659590469439,998800.8058770101,-0.013808831705994902,230220.12144644,-0.021593952294205316,160506.90665765
2001-11-30,-0.0055458535182969,1163982.90460051,0.00966156473272727,2186276.76055987,0.04566318741645391,2035675.1541816199,-0.005781674448933283,546518.1894667799,0.014179450280135156,742799.22677732,-0.009859114518445039,1089834.4100401402,-0.017459620593089212,340411.1361674899,0.022748400964252003,1807526.84949728,0.013619664433972273,1021407.7367942901,0.010706701393490189,250053.24443334003,-0.012655078832232908,171657.23312177
2001-12-28,0.048292897043630933,1193664.9308571902,0.02806952848151889,2172153.45449675,0.14170443589367362,1999523.5105907999,0.03498605104349982,563300.8480121801,0.07815821551954527,776349.88489459,0.012503136886466763,1050255.32106322,0.008749112866141013,343991.68281292,0.022281602054874904,1770466.8711616402,0.01351297194662168,1034352.7159086501,0.04769237045099818,246734.48414455,0.006709170283427175,174724.40269761998
