date,BM_ER,HML_ER,SMB_ER,MOM_ER,OP_ER,INV_ER,REV_ER
2001-03-30,-0.026198935841605257,-0.010799808592179666,0.044143059031524254,-0.012974555961819867,-0.006031650527446055,-0.08488960308811574,-0.12039497934953716
2001-04-27,-0.010628463173111741,0.015946821804333856,-0.0597579045980377,0.14191452465416443,0.01549189714404433,0.008234955426518517,0.02067747588112504
2001-05-25,0.02200306116969125,0.025779006612747877,-0.013326638904477023,0.05688824296397876,-0.011270289982375305,0.04070363484072102,-0.04593252292896213
2001-06-29,0.03208138152999462,0.014474130543210773,0.025113872300813425,0.0351720914660577,-0.02577975052768018,0.026733870205841045,-0.046532332881932786
2001-07-27,0.0001438553883809458,0.009490934570803161,0.014334674805586027,0.0933180128808282,-0.0020373466029191527,0.0005048388106404802,-0.04954937126288522
2001-08-31,-0.02556239906006709,-0.0036712747505508654,-0.006480359790413834,0.14714652489065128,0.017039899028316922,-0.01516633672552109,-0.10548995922318177
2001-09-28,-0.04014526685564523,0.03386191732392514,-0.04860226250702264,0.15140476791870536,0.037887103884651885,-0.017409168961139275,-0.1835642738052934
2001-10-26,-0.013732776735503528,0.034102795047002143,-0.03207762105512053,0.08705244532700401,0.016736720800299986,0.006117792088953181,-0.03692343667096425
2001-11-30,0.013541618186338217,0.03640383334412654,-0.006338457353090706,0.0245341938535572,-0.015748411075476372,-0.007540986907044304,-0.03460010268225154
2001-12-28,0.04987022002327592,0.029571534979552668,0.02738095498487068,-0.00042905432758878065,-0.05692130829068092,-0.026044030999267487,-0.021154063697152135
2002-01-25,0.016791814693984976,0.017123587012203432,0.018670229694708853,0.03870523488794114,-0.025079607227603835,-0.01623754220059346,-0.01409003005998362
2002-02-22,-0.005971834244066852,0.01068418212695801,-0.0229441042683085,0.10447588861794271,0.030242444763106623,0.028463881316580265,-0.0681784503390083
2002-03-29,0.005145786607103868,0.00455884511206878,-0.04842385523811066,0.10269000047496342,0.02771982444285824,0.03354551727280147,-0.04945631547434265
2002-04-26,-0.0026883616702422005,0.007012410105410648,-0.05365000952415327,0.12022694326453241,0.0331494801414135,0.03299616096444967,-0.08320820679475197
2002-05-31,0.003949893260886992,0.01648617889211828,-0.05446222334056436,0.0955072116871124,0.02296441969435196,0.02526540831854341,-0.07461462953070139
2002-06-28,-0.036499167994634,0.039890776219946134,-0.013051369649622108,0.15793210967465093,0.06243197219220481,0.026408282992013758,-0.11321332823647887
2002-07-26,-0.0657736801364528,0.056634340390099486,-0.024777414409830195,0.12983170618210127,0.07429978013425034,0.02484644838190626,-0.1338736218003238
2002-08-30,-0.03667588454846793,0.053758017531797056,-0.0354574618825671,0.13301089432010887,0.059285002468341896,0.027785601618395512,-0.03908403345883639
2002-09-27,-0.04520679809599676,0.06112908843931947,-0.05166126403464223,0.1032563457024253,0.056232231328066845,0.025410276186032893,-0.11203558267929935
2002-10-25,0.02562557662359005,0.04667979440604069,-0.046434262325178326,0.03154976397077923,0.03337902454251716,0.013963757169012558,-0.13196757917276886
2002-11-29,0.01844713431448261,-0.010919441698338547,0.027184322625265545,-0.03620009858370489,-0.04210228096024534,-0.03069003498025205,-0.13240827930859722
2002-12-27,0.029304253508111878,-0.01459501066197146,0.032651116011995385,-0.009075886607207791,-0.05182604175404736,-0.036495280158703285,0.05755194475350296
2003-01-31,-0.004234460878311724,-0.009874949499552536,0.01896377606158358,0.002104174793993676,-0.03911017826057041,-0.029319354562915057,-0.010571217477910498
2003-02-28,-0.027810829947327052,0.046209227832658,-0.041251155444956424,0.11132025205106898,0.05200039316477472,0.042673288005289974,-0.04030629444682194
2003-03-28,0.0009083961141187542,0.03948842750194553,-0.04638880082461051,0.06698813090497896,0.031423898264489006,0.024069129835968178,-0.04485454279996902
2003-04-25,0.021998810382010816,0.022429622551606833,-0.02829723077403911,0.04052158550377897,0.011432720321958741,0.010101550194402044,-0.042713835620882185
2003-05-30,0.05476899962516811,-0.012490019476839961,0.022978152773313644,-0.02437974733356732,-0.046955890867549144,-0.0578478860452506,-0.13004123912463178
2003-06-27,0.05147986595844384,-0.015406628162159668,0.038857455173788524,0.028040786444419024,-0.05717254321096744,-0.06319900363896601,-0.054771658829587636
2003-07-25,0.045804212164464786,-0.010620955696512252,0.03282660377928012,0.08230926335789512,-0.054725846654650925,-0.04551540783908803,-0.08984716085049721
2003-08-29,0.02184963625232594,0.006338499069813047,0.012659615981398854,0.0793070014233255,-0.02175032739624155,-0.008660931408830756,-0.05061046469039722
2003-09-26,0.013662609916431461,0.009339440372776793,0.008772997402522388,0.08741883139501536,-0.013760963494604,-0.002526431601272707,0.0003632827741900709
