,BM,HML,SMB,MOM,OP,INV,REV
2000-01-27,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000-01-28,100.00000000000003,100.0,100.0,100.0,100.0,100.0,100.0
2000-02-04,104.91472763727258,103.36170945083549,97.88329958371929,104.9003674964871,100.28382983324384,101.85086942235448,98.38435209974246
2000-02-11,103.07146210919528,104.08388279959411,99.2864582565445,109.34093248282959,99.27082433328899,103.51289056839681,92.04237354877363
2000-02-18,100.76668435238581,104.62717524875984,100.08138695750715,112.09346978711388,96.04761063096797,103.90682197901315,86.54366680891653
2000-02-25,100.88862307680385,105.70143065334169,98.67121101964618,119.4177081008899,92.65426255610924,106.36758164072974,85.24102070861989
2000-03-03,107.05300288591192,111.03480443925712,96.36178892690535,127.84198377634323,90.90666218985022,108.50995662854558,82.2880438666931
2000-03-10,105.99575453984764,112.79057459802206,96.82907304545665,131.3878453726743,89.4988058863872,109.47309078312882,79.99007949330296
2000-03-17,110.0981664529008,107.17723401874267,95.37052991113968,116.96926417375681,94.61594888577395,104.82149882921004,91.97404095873898
2000-03-24,114.25263282151361,107.12673421333642,93.48501933661785,118.4240489070791,96.11895266841793,104.86721963613356,92.28455418253063
2000-03-31,112.135633161621,102.06777082075862,94.04630359980489,110.97550638595138,97.3310399509085,101.47395347290134,98.7451164876016
2000-04-07,113.37834329164842,101.97304701287145,93.58947982531892,110.67206153661972,96.57478732661376,99.66662585422621,100.79973323832321
2000-04-14,99.61096358017394,90.93020041097327,96.52312601907583,92.58022675505559,98.1963541908987,89.05532084465823,88.47056408620402
2000-04-21,105.67036769416667,94.18056808115732,93.65446839441566,98.65190305586134,99.05574140249033,91.52662612611572,90.87536787716468
2000-04-28,108.36856725794196,93.97754559275778,91.3614897675346,104.06528495784718,97.45269474220412,93.24288392389107,92.10677067756828
2000-05-05,107.0312254961903,89.26820802901867,92.60780124754203,102.74752796416757,98.24358602366185,92.24526923200729,93.13545074908572
2000-05-12,105.88249528074199,87.17901169401458,90.83571699167422,97.52869441895054,98.88927078677378,88.2800616915316,88.60921909223788
2000-05-19,104.67306382655293,86.77263147916267,90.73957894314476,95.35562960715006,99.33617452658574,87.2288393748369,88.62970858744903
2000-05-26,102.55272665589942,85.35272951952605,89.15757170167802,91.08679468303487,101.27337416798062,84.65314996201418,83.97431927492495
2000-06-02,111.2321461044315,91.88137585801647,85.05303026271609,101.66645659075309,100.08148885149008,94.16779970863587,95.99636538091663
2000-06-09,109.97123236871077,92.26032263956213,87.07069486498251,104.73409174963017,96.1277612246376,96.84742952125998,100.06968562388339
2000-06-16,110.01881738953307,92.46769605847086,85.31415352768072,105.87719244782261,98.09676471047041,94.7946330601651,97.32774213378073
2000-06-23,108.76225347081404,92.7529894373477,86.31728515885638,106.8591098393438,97.30551051380847,94.70679363224374,99.17309062564125
2000-06-30,109.53626730733623,92.24193342198653,87.1217937147513,109.82909530865234,97.64616660205559,96.06762042891395,98.67234505226915
2000-07-07,111.65239828756296,91.20348007677863,87.19166044161057,107.87699245479187,97.71073438566333,95.1544399072077,102.5484430730434
2000-07-14,114.137200973241,91.92599058773644,86.23062702943903,109.22710371042524,96.26433561519259,98.54402061874886,104.79197166244596
2000-07-21,112.07478309054785,91.24182728337051,86.66086508483288,105.93005777579438,97.89994891484918,94.97658995132821,105.04773936852062
2000-07-28,107.31898954589167,85.69043123548333,86.16651725897091,97.62100455016527,100.12600153449122,88.08566290485615,107.57735460796474
2000-08-04,111.06728285976236,79.79473182756972,85.76932274523386,95.13567069271703,104.98381022642388,87.20480675894575,107.26122645957498
2000-08-11,111.87792908297074,78.2419815542843,85.34428077577492,94.50060832183175,106.49611364742246,86.3505411764857,107.09424357850477
2000-08-18,113.5396688016473,80.01672266872814,84.61141536682018,98.28209294951675,105.23031050586809,89.13708372017786,111.55972062356776
2000-08-25,115.23585338593693,81.45086955265438,84.68572208693068,103.08960281921027,104.94427407521574,91.95951312427164,115.61045854990878
2000-09-01,117.14608727578535,83.09764394506934,85.35797812856579,106.26593193094584,104.54495478062233,95.39119659712874,114.15646830281354
2000-09-08,115.01370867441885,80.87626003293215,85.66429289309075,101.80381120317435,104.0202706355365,91.39533377333795,117.3020298123032
2000-09-15,113.07772054595583,80.91482902880365,84.95343707994226,103.55413403423987,103.92335417326836,90.17185341652248,116.43644308735864
2000-09-22,112.06879389214448,82.55127616129938,83.61556700287805,106.9024104580492,105.43820593245913,89.99845142054224,114.08748959332596
2000-09-29,111.64733508847829,81.30595213664525,81.466253059719,108.46336830284864,103.52751040961988,87.95909643590682,112.13403019251037
2000-10-06,108.6017889209303,78.18210385541981,80.12460522931546,104.69248864749375,107.73498803790757,81.9023455711297,107.6757241069079
2000-10-13,105.83371496535244,78.96152921548163,78.98496997455197,106.03672995047795,108.0597100373672,80.76095660988372,105.73582733447965
2000-10-20,107.83407762708211,80.61493586764266,78.38797984433968,110.69001145190347,107.53517508506503,82.61255177650588,104.87989467978139
2000-10-27,106.71868720569812,76.50595372465642,78.76228115263321,105.02505286341365,110.17126345594026,78.52537975815038,104.32250100360676
2000-11-03,110.97645010575475,67.15056332227772,80.72751798613993,101.12349397666785,115.61319395566402,82.22365505862956,107.47489336272805
2000-11-10,105.42179768959768,64.32576418377046,80.24862481095022,98.76573003771007,116.93483201758669,73.87303018106887,99.68541695385701
2000-11-17,105.43758563103735,63.37627878832709,79.28275846530292,98.87941705394438,123.05103921385384,71.80172078297232,95.70664424774729
2000-11-24,103.3072879221466,62.462518570715694,78.13456778236336,97.09199139421995,125.32119033885942,67.92088779470136,93.01394467186321
2000-12-01,101.02753476580575,60.5468304596492,74.13852668050723,99.38800161248436,127.52408478576487,62.74152195505049,85.80596265083052
2000-12-08,106.12232342167084,62.55269995108703,70.6034950483356,104.8490083889206,126.33503835228008,66.81355599747901,88.32753335322865
2000-12-15,101.42270729784894,60.14263622839938,71.76184572018711,102.41689806524892,124.71139168615954,63.73776901974278,85.21967419717195
2000-12-22,100.85190743116283,57.98790790102052,67.37650830747877,104.95960302076327,127.88144949941105,56.98670351664871,77.85933926242824
2000-12-29,102.27307138939487,56.687875453799926,68.91117988945108,105.82799727261514,127.81083703260413,55.983157558429696,76.45995396403848
2001-01-05,99.96714709173288,51.69397186953759,75.69048360286227,91.48430907622893,126.38038872759824,53.547677345599524,84.56860742683772
2001-01-12,102.3238127299703,48.8760948602913,86.63961406104696,75.49472400989721,121.26728012432794,59.662380931288034,97.73185524983701
2001-01-19,104.02285170908092,48.708746646026135,94.02144175002478,66.06175359149267,119.2574037276049,62.61664670928975,107.42900609266488
