industry,Sector,wER,ER,intercept,beta_bm,beta_hml,beta_smb,beta_op,beta_inv,beta_mom
101010,Energy Equipment & Services,-0.5544804976260501,-0.8286203954865049,0.05474635634556242,0.33759390183149784,-1.7939587794081706,-1.5149656934337532,-0.2840399614656531,2.484447920137785,1.1610908084591993
101020,"Oil, Gas & Consumable Fuels",-1.0006962012396257,-0.550555587442337,0.032084881442481276,-0.7753603028028092,-1.0702882820541693,-0.2664433564381086,-0.45129388702648754,0.2954494743234159,0.06591872568562619
151010,Chemicals,0.4402559695881613,1.1440248452998218,0.008412890376773742,0.23925566968738693,-1.4699638999624758,0.022350804971813208,0.14368628567653882,1.3051672421679696,0.6538918286637161
151020,Construction Materials,0.7426760649436666,0.7892391752583144,-0.007239573401684467,1.3238427732695108,-0.7300965662145092,-0.6547575795487163,0.9384757376416702,1.1882784074751613,1.5235191222261235
151030,Containers & Packaging,0.9224082680681722,0.7759362057034639,0.01021052349274271,1.0635512878341067,-1.3962433697302463,-1.196779349653396,0.6755657975703238,1.96578291189235,0.8878560396622092
151040,Metals & Mining,3.6697921547211196,4.087238607261483,0.032359985542691566,1.9396310597162816,-1.0386290560876847,-0.9288852806065043,-0.027024686437819634,3.0778579997421645,1.1428010321656707
151050,Paper & Forest Products,2.3543827733681173,3.29085101122312,-0.0271308988227013,1.6604549293471704,-2.403167473203652,-0.7624877549775002,0.2597042443356117,0.0581107027971014,-0.2645157006532189
201010,Aerospace & Defense,2.5342543578307954,4.149978415817059,0.0320731428050316,0.43091939504298504,-1.0677011666433553,-0.6323691163838723,-1.4570457838695086,4.161304537259067,-0.22967250165792644
201020,Building Products,0.6205034339823396,1.121742758965766,0.000991558584194206,1.4012215743170888,-0.6150991496329189,-0.46226757150463454,1.247719973342541,2.0963345356854184,1.4166298452485215
201030,Construction & Engineering,-0.283577000594898,-1.0194301610117682,0.013319263037506709,1.1145355890842952,-0.6293926952630962,-0.19856121486416178,0.1212694880447671,0.328359882114871,1.8992170212806783
201040,Electrical Equipment,1.9663105950675284,2.0771324310383665,0.0034172167157875927,0.6335330273596246,-0.9624501163162446,-0.05802000239041521,-2.424187291303195,1.0883451743622614,0.8183885322152882
201050,Industrial Conglomerates,0.5803286978027417,0.1124421400285125,0.0017632479654080754,0.8084617275259433,-0.9136071309498333,-1.9967087249026332,-0.7304638683825898,0.8102335266751153,0.2749502787283432
201060,Machinery,0.034852084423630914,0.612354830125645,0.02126523708634641,1.0372144936532104,-0.4793819567574865,-0.3864043616584576,0.82510650460329,1.6407091445172528,1.218831436196792
201070,Trading Companies & Distributors,0.8391294933848208,1.3965494728489567,0.017626471703379002,1.1302221704754636,-0.5644846137185392,0.4409313988731445,1.4649434690189789,2.1092613491975563,1.1329450983391993
202010,Commercial Services & Supplies,-0.39588823771724846,0.40650546937037496,0.014535835234006507,0.9662537994780517,-0.3708100882527485,0.6166141405070121,1.5700315524215709,0.7375088864991718,0.5981259041536432
202020,Professional Services,2.345309834794313,2.532620928055038,-0.0010180086089531205,0.5936762875516005,0.1401233075481416,1.4891504336366372,0.40710887705169135,0.47616552889906977,-1.0437794460785144
203010,Air Freight & Logistics,0.21736166791780268,1.1761770437595325,0.014280462935207926,1.846745715322041,-1.2494629612802481,-0.5189976175910441,1.3443823650407036,2.03432968776084,1.2698857819589646
203020,Passenger Airlines,2.1294534883326217,1.8125687595763678,-0.024638053995345563,0.8680261321690583,-0.4955129882900071,-0.4086528020690604,-0.386678552635083,0.7252036214587504,0.6872352952373354
203030,Marine Transportation,-0.14167393667008232,-0.12293670207955631,0.015396105920999712,1.7438295799767438,-3.8365884859203514,-3.0285694287834724,-0.5417362511495942,0.8621890005283096,0.8716959852477474
203040,Ground Transportation,0.07598108050548541,0.07332761243041477,0.019644169671480215,1.1107248600616217,0.2759807842101334,0.8246854717414764,1.1740022889565076,0.9813448106654654,0.9555082516332333
203050,Transportation Infrastructure,3.21512882101729,3.21512882101729,0.0104212598288084,0.4833930636456999,1.4168202272687391,2.2032542409035427,2.459265137486822,-1.0854785324625331,-0.2597747479667563
251010,Automobile Components,0.26586840701527786,0.8446867282972319,-0.010923319520108317,1.1480313761328107,-0.8739888940803999,-0.5883039956498181,-0.12158034091889287,1.163660855777745,0.4985687846244773
251020,Automobiles,2.6926200793774226,0.545787908943271,-0.015942582177360044,0.6618367438837639,1.8484269068818828,1.295829671004942,0.5887684630293245,-1.2741227814414318,-0.8179123463128977
252010,Household Durables,1.3850269075341257,1.4522834995145897,0.0008029103412687593,1.5892704255511096,-1.1664831939584968,-0.06758529299758785,1.320879915080691,0.8892937081602061,1.5941746823724765
252020,Leisure Products,-0.12522155292513953,0.5032120198627792,0.004993223461860122,0.5143510657031927,-0.9963985896852718,0.11756344999027107,0.13464016224798547,0.6401710017072703,0.6116498532988276
252030,"Textiles, Apparel & Luxury Goods",1.5645845206932014,1.6330231654448173,-0.006124793873108002,1.836331863408398,-1.3193041043411196,-0.9773805140456825,0.9299165586928598,0.08605403525033493,0.9593039657976764
253010,"Hotels, Restaurants & Leisure",2.0477845315799352,1.5371596037121888,0.000171603464576766,0.9117649008811902,0.18508197029721574,0.7790395064253366,1.2191086689625368,0.5195630125100549,0.6031606903772314
253020,Diversified Consumer Services,1.625437136774474,0.6106168748827009,0.002184012898723587,0.027417902267510345,0.6727895778407315,1.824291275945254,1.3679184327184888,-0.4793109074310994,0.05693552174882546
255010,Distributors,3.25834168749331,3.699168704855712,0.02221621695072683,1.421970146528314,-1.7143529032390965,-0.17405658796257883,1.454356681109142,3.017917982497527,0.8515761533228351
255030,Broadline Retail,3.855092825599509,2.25941520701288,-0.010484331755309982,1.1659432463816168,0.11164912133468254,0.7560802189060163,0.6491124623745081,-1.724235129114068,0.3151521911442359
255040,Specialty Retail,1.4475726916930536,1.2338257080937454,-0.0023212404466278554,1.0593510327208389,-0.491367783321873,0.47771167020501015,1.153565262054625,0.40973021453531383,0.5356045552211833
301010,Consumer Staples Distribution & Retail,-0.36583168231337926,0.7598963546916133,0.00786403669351831,0.559875049929515,-0.9436402075202074,-0.5338296571970235,0.5018965742333727,0.3189535167299418,0.612287774210345
302010,Beverages,0.19417891120228176,0.22321695098244002,-0.005608539711975547,1.1879685269760705,-1.446940257911296,-1.6600747579823378,0.13940814610648367,1.5599547038398638,0.8746108298863553
302020,Food Products,0.13697226571249846,0.3194221557151827,-0.00758768231497303,0.9045106787544279,-1.6564880646647597,-0.8170060837307535,0.5374174311452106,1.4709370784023517,0.6346839148847503
302030,Tobacco,-1.4641730711763639,-1.5554671027282725,-0.0215151013604737,0.9106609209735602,-3.335351040986595,-1.8535976195038315,-0.6414116032610371,2.197088028062815,0.9688904926345001
303010,Household Products,0.019780061300635712,0.2382755532886358,0.009016478813779417,1.1704473756517657,-1.726727811054326,-1.358785047738407,0.8427275011874888,1.9112259933377225,1.628290395073577
303020,Personal Care Products,1.86992961023101,1.9278183926180363,-0.017379798064879114,1.6535594911445026,-0.7147379023036736,0.8945107356715037,2.7435165215197728,1.0708418460582871,0.7117497732214851
351010,Health Care Equipment & Supplies,1.0177504922433893,1.79105789422941,0.017975834881376454,1.1379132368153628,-0.2956197496872136,-0.7709991630181534,0.6019914397710995,0.8258135068023492,0.36822297258174974
