date,index_ER,index_MKT
2001-03-30,-0.026198935841606354,10948103.57711238
2001-04-27,-0.010628463173111669,11647326.814797299
2001-05-25,0.022003061169692757,12581479.08176189
2001-06-29,0.03208138152999645,11756998.68762559
2001-07-27,0.00014385538838132495,11521003.013557719
2001-08-31,-0.025562399060067752,11485759.71164691
2001-09-28,-0.04014526685564721,9755322.430928241
2001-10-26,-0.013732776735504097,10684007.86972275
2001-11-30,0.013541670542142458,11357876.99014853
2001-12-28,0.04987022002327875,11327153.68430683
2002-01-25,0.016791814693986155,11060652.624411128
2002-02-22,-0.005971834244066878,10867437.249413319
2002-03-29,0.005145786607104494,11187432.45384343
2002-04-26,-0.0026883616702418553,10997772.291393269
2002-05-31,0.003949893260887506,10814144.84530257
2002-06-28,-0.03649916799463579,9975819.07137741
2002-07-26,-0.06577368013645618,8327720.5714729
2002-08-30,-0.03667588454846988,9552322.400178801
2002-09-27,-0.045206798095998875,8434519.91187402
2002-10-25,0.025625576623590746,9018528.84935844
2002-11-29,0.018447134314483974,9427088.61210148
2002-12-27,0.029304253508113408,9122591.51974533
2003-01-31,-0.0042344608783115275,8609460.80341649
2003-02-28,-0.027813477176170952,8451911.382319622
2003-03-28,0.0009083961141186528,8766661.93441033
2003-04-25,0.021998810382011638,9138445.37032973
2003-05-30,0.05476899962517073,9648651.06026607
2003-06-27,0.05147986595844667,10125099.7917816
2003-07-25,0.04580421216446739,10131570.0489404
2003-08-29,0.021849636252327463,10311549.087338269
2003-09-26,0.01366260991643254,10640160.70850684
2003-10-31,0.02382887559749805,10748891.90783713
2003-11-28,0.022969038758530638,11021456.69801461
2003-12-26,0.03580796265146274,11397731.7882962
2004-01-30,0.027790011183310225,12066981.256168991
2004-02-27,0.027469468308522017,11891106.609571379
2004-03-26,0.007867476124967918,11492470.55735884
2004-04-30,-0.0037494302267150146,11960626.118729759
2004-05-28,-0.004655051810837122,11539004.075871728
2004-06-25,0.009182052639660022,11878313.52649746
2004-07-30,-0.0011558223959749147,11372931.55003047
2004-08-27,-0.0029723883403851526,11529028.810383031
2004-09-24,-0.00529219206904923,11856877.51169789
2004-10-29,0.012378691939946996,11549865.20276818
2004-11-26,0.026688569399263062,12404501.076916091
2004-12-31,0.03340067661287606,12679542.29632313
2005-01-28,0.014478777143367346,12231122.2640568
2005-02-25,0.01160877790314126,12662095.2954388
2005-03-25,-0.004904343940337879,12491289.341355111
2005-04-29,0.0013879150184402137,12215179.01503933
2005-05-27,-0.0033050158994753403,12570436.997336209
2005-06-24,0.005812983821762745,12845742.444436349
2005-07-29,0.029466808690298163,13083558.48037595
2005-08-26,0.010159115395301954,13120598.01276197
2005-09-30,0.013185257244973448,13043415.10961172
2005-10-28,-0.010012652358043727,12906313.313025761
2005-11-25,0.016536339846651794,13593595.59230605
2005-12-30,0.006746553576289193,13769282.429261839
2006-01-27,0.02423505356068253,13649147.22637031
2006-02-24,0.008024143718150547,13908404.474626658
2006-03-31,0.0172782168232602,14118387.89038995
2006-04-28,0.00888573268982098,14221103.71402432
2006-05-26,-0.0028656875856627947,13679164.48544072
2006-06-30,-0.008693362756361749,13428120.97330264
2006-07-28,-0.01104956624531675,13479821.699050121
2006-08-25,0.00099297690598563,13801018.305309411
2006-09-29,0.013714493870405103,14141711.79506458
2006-10-27,0.025208384218110884,14695568.70938953
2006-11-24,0.029452547908306998,15006255.87217033
2006-12-29,0.021650249146714245,15099618.60090391
2007-01-26,0.01110862350320286,15208579.90023196
2007-02-23,0.012507977125772712,15527152.42703959
2007-03-30,0.0018174166887540305,15375683.834131308
2007-04-27,0.015911214198845915,15569654.205656432
2007-05-25,0.011557410248874425,15944906.35084537
2007-06-29,0.01685100377788614,15685631.43340618
2007-07-27,-0.008947521970565649,16521031.45657444
2007-08-31,-0.007801062993733291,15754736.0537811
2007-09-28,0.006445257973810457,16306470.77767575
2007-10-26,0.020705953736055768,16101319.60372301
2007-11-30,0.006296923644367359,15031982.20513279
2007-12-28,-0.004857957496602953,15948615.848781541
2008-01-25,-0.04262714324095479,13844390.14397068
2008-02-29,-0.029223867273745756,14318879.97640689
2008-03-28,-0.03292071435042969,14044370.22047371
2008-04-25,0.022880129496914436,14279184.550556649
2008-05-30,0.024597992501298127,14275639.061477289
2008-06-27,0.00403729791381174,13725687.551245011
2008-07-25,-0.023902696330104594,13134903.5919058
2008-08-29,-0.01942127997755856,13285743.60529513
2008-09-26,-0.007130597807854751,12681156.76679756
2008-10-31,-0.06472883883921712,8744931.10041546
2008-11-28,-0.09767155135136818,8683621.13821157
2008-12-26,-0.08761273520658014,8952678.39223466
2009-01-30,-0.03703126729483118,8562471.95721643
2009-02-27,-0.04310119139522209,7625047.40325455
2009-03-27,-0.0009574209311400333,8555879.58805566
2009-04-24,0.03891496853557215,8654887.82654655
2009-05-29,0.09839654174043778,9276642.84954054
2009-06-26,0.059196921399428684,9373232.10511875
2009-07-31,0.060132996780957224,10341121.47928548
2009-08-28,0.04528471886379064,10894988.15086637
2009-09-25,0.05006533917040985,11395280.15382029
2009-10-30,0.01548653245754902,11363811.93244893
2009-11-27,0.01694969720094925,11773966.57520926
2009-12-25,0.0254737404373366,11988820.96443375
2010-01-29,0.014903325231028608,11693656.613773178
2010-02-26,0.014075865616360615,11883973.22432709
2010-03-26,0.020767451481357502,12607719.95197329
2010-04-30,0.043870271516667156,13110776.672115449
2010-05-28,0.0037142112579209735,11635528.4721174
2010-06-25,-0.02182014676177118,11997543.577810422
2010-07-30,-0.020976076909366675,12359698.89921961
2010-08-27,-0.00470468510673131,11800225.71023825
2010-09-24,0.027396776247013335,12671638.158460781
2010-10-29,0.030620407029378974,13144424.6405419
2010-11-26,0.045320190364501176,13320283.55286022
