sector,Sector,wER,ER,intercept,beta_bm,beta_hml,beta_smb,beta_op,beta_inv,beta_mom
10,Energy,-0.9501797311860153,-0.6319888526552718,0.038606169184375136,-0.45508571154113814,-1.278538784889853,-0.6257303598900926,-0.4031632609658158,0.9253770846297091,0.38107615957730184
15,Materials,1.612685244907973,2.301665664922896,0.016454970260875817,1.1255644173979407,-1.2603859279255003,-0.5752353001437028,0.19736611224330636,2.0649429232311545,0.9157610732936675
20,Industrials,1.0813921016957913,1.41678204417874,0.012991797806587645,0.9217987190854244,-0.5620219272568101,0.03698695058654926,0.2232809751874362,1.5404185840865707,0.6559634646974082
25,Consumer Discretionary,2.6620949861686034,1.3189878394289662,-0.001778627786711613,1.0563432903713026,-0.3856897425776302,0.3705226669762559,0.998261772941365,0.40332686734086826,0.6483043765250126
30,Consumer Staples,-0.21418310637009833,0.5281837211042886,-0.003995688616765649,0.9965085958687148,-1.4256175029517346,-0.7511294832082813,0.7488547979669816,1.263839647100945,0.7945262871736674
35,Health Care,0.6231042950849207,2.4019987317393823,0.036488230572340845,0.8614579496371263,0.2262364953544935,-0.8666433210378369,-0.17452066768120597,0.004324041926586736,0.5670448005808967
40,Financials,1.235491221190063,0.8045181358904133,0.006826861407782472,0.6674700899714986,-0.1970990562891571,0.8788816057128273,1.0315665285839462,0.37034603330480526,0.21254953450481506
45,Information Technology,3.5289862588510754,3.3082164517970627,0.0214940936860327,1.02061930204428,0.5038328216092853,0.5243000930182474,-0.620952038225182,0.2951305020851572,0.15789623269549194
50,Communication Services,2.4505658236702645,1.7579486785019358,0.008598943237331564,0.7018430711793956,0.8728733473300029,1.2966586004378016,1.098327368137423,-0.22990023633783604,0.2199430984646486
55,Utilities,-1.3519533141554583,-0.6984076745707083,-0.0027275979958874793,0.465060656321842,-0.8428213551551944,-1.0102546815474762,-0.2144253993634817,0.4088851744385329,0.7983506726187906
60,Real Estate,-0.8837162148936606,-0.6364962101243707,-0.010625934410392945,0.9662058242039953,-1.0407563826815875,-0.27283122129659715,0.4062909512889012,0.26395209974988043,0.78476009986669
