instrument,intercept,beta_bm,beta_hml,beta_smb,beta_op,beta_inv,beta_mom,mktval,sector,industry
US25400W1027,0.0507750817684396,-1.407752763857645,-0.8737919932469027,-1.0134514133587151,-12.162025641200998,5.070403534819252,-2.576931121539745,1413.59160016,45,451030
US91532F1021,0.1368364948205513,0.2300505886364772,3.7536786725576055,1.4326796868585048,-6.296101581682651,5.991436511650187,-4.7927681941845615,1594.73770936,45,452030
US34962G2084,0.448351777297936,7.658908992792917,9.436575495210406,3.891896057684311,17.34531250364524,-4.986928844109528,-11.866087372431936,1500.9488333800002,35,352010
US3371851029,,,,,,,,1469.7629582099999,35,352010
US22041X1028,0.0052478683591491,1.1887522126509893,2.3160591513562525,0.2493116371712626,-3.4853289243049645,-1.4521481828269167,-3.3226391309855985,603.1541492800001,45,452020
US92892B1035,0.0452178552099843,0.7826188689757088,-0.0253894042441511,0.5838539800039566,-5.009837738748858,10.317776930691045,-2.5754889916699035,2178.44739924,20,201010
US0494681010,0.0341974008256065,0.569953647039144,4.981581590872747,3.022868278105557,-1.6203489048611517,4.188907434218116,-5.807716150583113,40463.36998242,45,451030
US00835Q2021,0.0355497439649613,0.0800074945622666,3.103051759452957,1.639231556062048,-3.607807251226512,2.471565980419178,-1.6459873848566997,1071.754974,45,452030
US00835T1079,,,,,,,,1475.8803618000002,20,201010
US75776W1036,-0.0112114725618057,-0.8115435537876017,-9.973627746974824,-2.138656767534864,-14.259831507658992,13.683394187244073,-3.857884891397077,3027.9520488,20,201010
US92259N3026,0.3164907129532712,2.631694935657192,13.3415412929883,8.824452325594319,4.954750181588761,8.387515815531472,-2.8091460517245808,274.53939413999996,20,201060
US76029N1063,0.1371028330526751,-5.344398842419913,0.274263988637891,-17.453600498663334,-27.40324897209513,0.1718679593456116,-8.052705603600751,1329.99140274,35,352010
US92766K4031,-0.1076164691421684,-0.1717365010239682,-4.026420794545631,-4.79835408858097,-14.546570331785968,-0.4713514494040784,-4.0931504723243055,482.8997411,20,201010
US22663K1079,0.1642337515271864,3.684409780518432,4.99830572934093,3.484320840940531,6.7680138630194,-4.087349888428063,-6.105771154676109,8691.88809492,35,352020
US3441741077,0.0592072768697536,2.5807707810388023,-0.3411919692076799,0.5843843122133408,3.521040099309399,6.183267811718993,0.3929954321513785,300.8267915,35,352010
US75644T1007,0.0404131149008791,-1.719645210456369,-5.087716428494433,-1.1479289960955434,-5.811065302390471,12.138946175074304,-0.7762396742864928,1463.72906244,20,201010
US03213A1043,0.0610273281524267,0.9111030894072794,4.164390974952415,3.609942078430072,2.300121895039527,3.453063098830756,-2.991846901372626,1590.34988457,45,451030
US91332U1016,0.0354540235083509,0.0336533756346168,5.243404128247298,7.034817071294116,1.4796570017402322,-1.1448312602968018,-3.363503774899261,17271.480040500002,45,451030
US69608A1088,0.0659771560237196,-0.4856656316069237,6.698834180704619,2.553841373524489,0.4796655151609394,1.2785089923047952,-3.001345564931446,402520.87193759996,45,451030
US7534221046,-0.019609205998509,0.3962643910997291,3.7976582018359406,3.977650369966885,-1.042592668273543,1.9919501950052725,-4.901705783666602,860.66515839,45,451030
US02080L1026,0.0416038635155006,-1.4245827939879652,5.063033948293913,3.19313727545168,-3.5367524722893497,-3.292500813754482,-1.1822958467171307,96.95199968,35,352030
US62548M2098,0.0347266718120845,-1.116063214437917,7.108687583196583,7.351736977844173,0.9234720607023764,2.1684678908838477,-0.2944892632545385,289.75927663999994,35,351030
US05637B1052,0.1409986997235533,-1.9900214130992775,5.906101701235949,4.74792570264222,-2.543841399473985,2.8210599714788573,-0.8968693431920447,937.927911,45,451020
US4383331067,0.0714374706495351,0.958855522019372,4.168284807391005,3.1861647714196746,4.018923825914432,2.04944797053814,0.675390286107074,441.84768068000005,30,303020
US0080731088,-0.0144173552823848,1.8593259230377224,1.0919148595715735,-1.9873283910311832,-2.021328678183226,3.7469222568864007,-1.4577241069940414,9684.695591640002,20,201010
US68989M2026,0.0161215007226721,1.665768724761246,3.5224633079244887,2.852609988183031,-1.9760171955993515,-0.5850129353939133,-0.787531477320155,3314.05138802,45,452030
US88554D2053,-0.002499346617995,-1.1160099359890228,-2.378654323315102,1.2087402582317268,-6.080556121861629,4.140858172847103,-0.91537762850056,595.4576076899999,20,201060
US70451A1043,0.1401793754323116,-4.073910594898075,5.914508386067153,8.078691837480752,0.9545301209956828,-1.9893899018365,-2.5323695922459857,469.07364966,40,402010
US75606V1017,0.2461993346984571,2.111579736177826,-0.1555632762082206,-9.393994674309871,0.0337650168544256,15.339442551517708,5.872666384071236,949.5097635,15,151040
US6821431029,0.2422717280998465,3.987369737229703,9.755437127475002,0.9285524625324616,5.568696523061135,0.7376738256679967,-3.328753606977868,1189.1552129599997,35,352020
US98956A1051,0.0311596746098935,1.574718342745166,1.466863412363903,1.982307184132419,0.1634362164655523,2.440471627037012,-2.2011017366782197,6213.17768834,45,451030
US69553P1003,-0.0158822073587335,0.5265778768226047,5.065284494411512,4.3641856161218975,0.099172952667422,-0.0978903748465258,-3.634518025468708,844.31992704,45,451030
US5009461089,0.1358801874074329,-0.7329568620886354,4.066195069256436,6.932401794444806,2.1821722174108964,8.860121914719592,1.046486290881245,182.78582524,35,352010
US0094221068,-0.0065651025775262,0.2546763841170143,0.1151724829543882,0.3734340968879307,-0.0589650341181757,9.989585658819792,-0.951209960131653,112.38708845000001,20,201010
US74874Q1004,0.0650768949951297,-0.0286377835226784,2.893811301180775,3.450342797081103,2.5617227725035203,2.4463158336818385,-0.8255879035733744,1120.6197540700002,50,502030
US80401C1009,0.0822391910609824,-6.909670974845059,-16.06989716922844,4.923905292981003,-9.928678520058597,16.75469149055609,-1.6646675723509066,662.8511368500001,20,201010
US74758T3032,0.0140051534105761,-0.3176044761389058,-1.4790938755796934,0.8571418771160397,-2.3294224087507063,2.81139400883135,-2.621710121870242,6384.1265132,45,451030
US3584351056,0.1122396236891173,-0.4472615455418509,2.3196105191864884,2.8983992555322624,1.3383863355004806,2.731923240712647,0.7603295173524036,312.49780029999994,15,151040
US8334451098,-0.009808895869064,-0.5426185332108554,0.6049915536353222,-3.0132082310435484,-7.08708216044344,-0.608241896581357,-3.858814784168028,108868.9918596,45,451020
US7332451043,0.0436539824219336,0.7573998301687161,3.902203211726014,2.397706270495114,1.9171774889624968,1.5835337825355162,0.3988577578001873,1550.11908852,40,403010
US09624H2085,0.059718489283047,1.289929332180388,-1.7767549454848075,0.1947230479013768,1.7509717481744986,10.348524282286112,1.9235863903992256,651.5267820299999,20,201070
US45569U1016,0.0267793414830662,0.7799836423763153,1.9215970511831784,-1.2305638642750074,-3.419884242391279,6.921251249845282,-1.7668303954616575,1074.15940107,45,453010
US74467Q1031,0.0756225651616428,0.649592053947503,2.2119574554704804,0.588340515055046,0.3991327760534116,1.1440223475788185,-0.0846209722877195,797.0820975,50,502010
US7811541090,0.0307057593600468,0.5161296068690536,3.947616750161728,2.2535657333146277,-0.8122703579348904,2.285423978395342,-2.425423339149151,20315.414289959997,45,451030
US89785X1019,0.0134908622169433,2.3053090627982726,-3.8020967824088303,2.214591023717204,-0.48854781339872,5.827128517927849,0.2691906961382593,295.26892669999995,20,202020
US8085411069,0.0063644225624917,2.430485073997797,-1.601022133620192,-0.6988700017004328,1.0533792746290076,5.235413878147157,-0.3933871383638605,659.71131743,15,151010
US92337C2035,0.007369149430983,3.318586127879736,3.2296449985250613,0.0501335952876449,4.17634995969561,-2.9879805700844377,-2.2236633477213017,539.3057009199999,35,352010
US03782L1017,0.0053100684560441,1.4663507648637777,-1.1160992115895874,-2.4611563089412547,-1.1042759359574303,0.6984664185946254,-1.887484961789808,,45,451030
US40701T1043,0.0783411976340956,1.7295458297042503,-2.8302755789625698,-0.7229032958997454,0.6423791025122598,6.400180482013047,0.3136813989941901,316.98536064,25,252010
US4510511060,0.1065741331402912,-0.5379631641740066,4.73438185630276,1.392557633858584,0.960068545357005,4.409895493818634,1.8257934269551523,458.8700624,50,502010
US8162123025,-0.0139980300699507,1.6053902501476904,-1.905731378582875,-1.250667145229197,0.3605328873893301,3.214754137637169,2.5922750484745327,106.87460885999998,35,352010
US82657M1053,0.064360721587691,1.9634687506871509,-1.2781294290883465,-4.96436665736154,-3.684495140516714,3.4117530083675094,-1.0315764442964923,352.54018086,35,351010
US55955D1000,0.0624176113047806,0.6193695221653872,3.4184973553613194,3.583896265453886,3.827982555945296,4.221144639096623,-0.0558023100334501,3468.01157632,50,502010
US68376D1046,0.0382706638068995,1.8519217278795288,0.3276224203568534,2.5338070536721515,3.0188324481399755,4.909737214278267,0.8797673557048808,323.37857536,40,402020
US02927U2087,0.0776535674358108,0.2297909527279246,1.2951875918344886,-3.018463072760606,-3.282391256453592,8.687473091907734,-0.0667384445767698,265.07480735999997,10,101020
US68218J1034,0.0342717629844509,-0.733496766674624,-3.814198699039792,-3.153560543415676,-8.562677042298064,7.817443134348766,-1.962428460666523,413.40331910000003,35,352030
US1241551027,0.2337836348406684,-0.722958346351382,4.210179740792405,4.003718274665047,3.886641898443821,0.6144886404695992,3.42829223821776,2004.18068256,35,351010
US26856L1035,0.0630292196052287,2.651480039834314,3.867984884299797,1.1730094766297383,5.847724465331258,3.9968830088871448,0.6220619642470627,5252.752776209999,30,303020
US3433894090,0.1684159708892845,-2.090316648448882,5.725172858225912,3.5475271648178643,0.0571858925602584,4.352907958666108,-2.322280970595335,1208.45899372,15,151010
US70439P1084,0.0430210558745014,1.9919212577306644,1.009969081687332,0.9456890454890132,3.582933097351144,0.2022970219468796,-2.1846289276049795,4934.6964715,40,402010
US50077B2079,0.0050581404451591,-0.1492096955288603,-3.128518843848824,-1.941139446589755,-3.830384885348325,8.248006141405252,-1.276491284160933,11819.4790784,20,201010
US03969T1097,-0.0179758933480098,1.7641762783215764,-2.0695535819208257,3.567357350373033,2.9208004883331453,6.800523516829296,2.6344053137603183,214.20054399999998,35,352010
US81727U3032,0.0169811603373918,1.9292746104483756,-3.625686986090522,-1.5246548089992724,0.4081151213931633,10.250961895326649,1.575310399787738,361.67441145,35,351010
US75901B1070,0.0753262960386419,0.1511740861179676,5.274879075111495,1.8843726535728067,2.5971904262404863,-0.8298411359221645,0.7029683377979066,653.79523386,35,352010
US3383071012,0.0234707242102028,1.811001695648556,2.836889551485359,0.5850399869387989,-0.1469817882470337,1.0136509129913365,-2.789673232219886,2442.3111189600004,45,451030
US1421521071,0.0323465921720812,1.1848529134131245,4.5406676461798,3.0405672351475137,4.0900710821011845,5.291167008093272,0.4278517863619621,2523.5234862499997,35,352010
CA75585H2063,-0.0166142095636047,0.7535294126289338,-1.020825250176502,2.3075465929151866,2.3742777392663306,7.203909439181276,0.6364713918058996,413.13272832,60,602010
US70432V1026,0.0389450436911896,0.9194654233443288,3.632314355031699,2.419647700982053,2.2177846662954144,2.202811749253873,-2.419884197090349,8699.60235331,20,202020
US9290332074,0.1995687294830311,0.0508573860801938,13.020969911134127,8.863046518291483,11.061472124387386,4.432748669492581,-2.56328814107865,1241.52183702,35,352010
US46655E1001,0.0651938868178826,3.9730429395323696,0.6923168675115392,-0.1554865318736862,3.090633385759576,4.695863376689838,-0.1678130008994215,658.3264194000001,15,151040
US34986A1043,0.0511055500879249,4.220106081611813,-2.355951901700598,2.961727402037288,8.118511032586339,7.344750919711927,3.698644461278509,447.0171857,20,203010
US90364P1057,0.0956473656584097,-0.5095392581025013,8.219662391642942,2.4229286750276837,0.8374244109436733,-0.3767491406311172,-3.870503737015886,7686.7954317,45,451030
KYG386441037,0.080049324510863,2.641008883375098,-0.4003529958561441,-0.5143465852071866,3.410523708850982,0.1437241724717688,-0.8112105249220668,1634.2372737100002,25,255010
US28106W1036,-0.0123819381683882,0.6809549201543197,2.935620439210985,2.555249306427509,0.0707151364703599,-3.029296728065879,0.5968862808327995,432.0891446,35,352010
US4532041096,-0.0010101876736756,2.113428581378551,4.614555009952097,1.2889915130892118,0.876577842383807,-0.7172321759788162,-1.9737976729204545,5042.54158774,45,453010
US45827U1097,0.0475844751480221,-1.3252999303316155,4.375540865403508,4.413449033138539,1.7617582527209668,-0.2403900501455043,-4.180858339342628,2788.8879022,45,451030
NL0013056914,0.0300327590475892,-0.5368235431714942,4.129273712075071,1.9557706896693268,-1.5727004015774493,2.605319833541423,-3.900500893621574,7809.940294159999,45,451030
US00191U1025,0.0113405228841385,-0.604058210155997,-1.193778148192108,-2.721692614024698,-2.1181054449364973,5.082430306686792,-4.859025057134266,1251.48226611,45,451020
IE000JMT8VI3,0.0579051448534672,2.865724319787771,-2.2313135291015307,0.8684199368743934,3.706438869024805,8.094610833483395,-1.199492566504314,5146.98,50,502010
US16935C1099,0.069342756647802,3.2633300250380293,0.0337524086746627,2.8409065641618287,5.44248038337847,5.922824243230922,-0.157232848443768,10359.251737800001,40,402010
US88025T1025,-0.00932852731533,1.054065292107894,0.5318218877367459,0.7928400590006903,-1.5372348386605674,0.6023675193278784,-1.2150947426498788,4144.2136473,45,451030
US0327973006,-0.0362680811812723,3.081864834551677,-0.4481820900888527,0.2205063256058763,2.797115903219795,8.110910832029564,0.8078611614149656,288.63016000000005,35,352010
US7707001027,-0.024828347878061,0.5422995767562638,3.67253312628653,2.3955590718296214,-0.7963591305844481,-2.0196514803375605,-0.3480452178388783,84848.13175752001,40,402030
US4622601007,0.163615092382027,1.6909223625566243,-0.5662878629770642,-4.301002109521999,0.3736302538000235,7.3414352979938915,1.27591318637983,2698.36487082,35,352010
US60937P1066,0.0707774467339265,1.3801800383277412,4.215072373446955,0.7332856227293814,-0.0092665609043207,4.428891484820591,-2.640874598460321,35872.153262110005,45,451020
US73933G2021,0.0657491023576189,2.609505235974552,4.064730394973728,3.865785764654492,7.114991408171444,7.889977871813539,3.331669780554704,163.19402682000003,20,201040
US9892071054,0.0347589725569142,1.2782240948792976,1.1824476994426858,1.3251384685161811,1.7914259468745053,2.8226215841515487,-0.8969268948386728,17666.03640437,45,452030
US55318A1088,0.0081292201676352,1.6515227640646724,3.7686911408317303,1.18531099526572,3.0180179566280327,2.5335123623721723,0.640741372652087,741.72375882,50,502010
US80359A2050,-0.0524106985775095,1.305242060211828,-6.40413240865829,-3.7934212119934,-5.260373308524516,7.161681190227791,0.9353421040119188,233.17153545,20,201060
US55083R2031,0.0680568389488195,2.600437241276332,5.136532650078,0.0756043934486707,2.801235493754608,-2.966032100927721,-2.161264399579458,264.11638665000004,35,352010
US24703L2025,0.0929736010766502,-0.4621319027882,3.254152066166388,-0.9851861864566276,-5.291795669846387,-3.385216383829716,-1.3163745346230402,282104.6672572,45,452020
US68236H2040,-0.0315266522623441,1.6660867766019527,-6.095477125637499,-1.378290736634117,-4.071390717192514,2.8746565430261675,-0.4793993672015456,4379.5202151,45,452010
KYG596651029,0.0473138416012768,0.1455526532038455,2.370573747064337,1.5288069726350524,-0.0269287285827583,-0.8603836597044952,0.2808858136445401,771.2116125,35,352010
US71535D1063,-0.0038947272268012,0.5451052821093297,-5.514030757085731,-9.834941435287185,-12.486753936856584,0.739061198298961,-1.065262593428994,1478.16103183,35,352030
US7501021056,0.1854054541673828,6.52589441500225,2.0594228980366305,-16.561428663678193,-8.013012848914457,-8.509068983598873,7.289984738218726,372.94608569999997,45,451020
VGG069731120,0.1096219940121304,3.100471442871028,-2.163283451768631,-1.100294562860435,2.572003588640799,5.809927281119393,2.527731022043287,3097.06506342,15,151040
CA66987E2069,0.0203106773062515,3.9789365082706114,-1.864256274482001,-7.130876028268378,-0.6730600535078141,2.373809189359293,2.3438657473679,2560.34643984,15,151040
US92552V1008,0.058236063624845,2.051508101701468,-0.7945699505205917,-1.8389128982321945,-1.92850562104214,1.505987805310729,-1.3828071033146956,9899.84476728,45,452010
US6121601016,0.0828236802062189,-0.5359933687306202,6.424268183747701,3.365477424713454,0.2061877227298501,3.475890451669416,-1.470761736546346,174.41431587999998,20,201060
KYG254571055,0.0152374587944846,4.381790209618625,3.935464332613997,4.08803641258934,1.461425573766141,-4.626983741058275,1.839128912635406,41294.66976919,45,453010
US98138H1014,0.0112915840109228,0.0055418924086326,4.139554826779706,2.412344943791924,-0.1354805711171816,0.3629561246717645,-4.092355691678543,48706.3861145,45,451030
US13463J1016,0.256286373789839,-1.3729215759302926,14.293724821823249,4.524573698912565,2.377807537504097,-1.6551495644827448,-1.1350745744290331,198.95933642,35,352010
US7867001049,0.0338019959779518,1.5384356128650278,1.2614759489292893,-1.3785118807040444,-1.5475037323807834,4.1175933655787,-0.3550219003914749,565.1750354999999,35,352010
CA7142661031,0.0395630604274356,3.021758380732285,-0.9773209326140222,-5.396124801046256,-0.3395479022443822,3.952643400332196,2.2948542215373875,3125.37527276,15,151040
US65250K1051,0.0070221118778681,-0.4012462941213865,3.0992723111012435,3.4293590712301976,-0.2575654097466453,3.292498514013724,-2.5225933288956863,1095.2763081599999,50,502010
US4663671091,-0.0326464836153705,4.12511928000999,-3.0024088772202955,0.6704288931193236,2.57186148033268,1.5891663435853935,0.1340540094368034,320.12810088,25,253010
US88025U1097,0.0831894686527842,2.759459107585032,-6.982878937599258,-6.596981313722131,-2.6982601488347706,3.4354928126474986,0.5530047270682266,7093.078913609999,35,352030
CA98936T2083,0.0172795913031421,0.5553753135055299,2.2253073671578085,2.2312407244137957,1.985117774775344,10.276918642503324,0.0409324644601178,116.20290299,45,451030
US00847G8042,0.1405401797790324,5.099130911781852,4.593680878919888,-0.5845299578462926,7.722195854466959,-7.072937768414022,-5.806874121638633,325.30308915,35,352010
