,em_hsd,eu_hsd,us_hsd,usd,jpy,eur
2010-08-06,5.395099354251718,4.390084694946807,5.475478414638346,-0.0421679571173319,-0.03498476864741773,0.05127799319458726
2010-08-13,3.2219911382087814,3.8721865327303475,4.952996281201727,0.005576433507091805,-0.004849045182594991,-0.013956545271785248
2010-08-20,5.229379736120933,2.9780438052723452,4.99960094127796,0.0072762551540139775,-0.02109415194649289,-0.015417990237855395
2010-08-27,6.197920120091185,3.1467162831465116,4.938964017489786,0.016924208977189048,-0.014513590206266858,-0.021689147762109173
2010-09-03,6.289706548180279,2.550638534677964,5.542620157915878,0.02101728640716316,-0.014033331076287237,-0.0292811441475348
2010-09-10,6.502106696608773,5.505724337527653,6.094176477296826,-0.003013863773357328,-0.02349312877697407,-0.005685159772593651
2010-09-17,5.120704173635795,3.328226856408681,5.331111061668699,-0.01998555261256918,0.002744685821069792,0.02675480012590503
2010-09-24,4.585437000869464,10.379589696026432,5.281286541526688,-0.04245055475156767,-0.011852490758669454,0.056874265569917704
2010-10-01,5.287139913731254,-0.4635664320461075,5.633254533682984,-0.04884287454323988,-0.012987783181117374,0.06947890818858515
2010-10-08,5.882648089379082,0.6098857652836486,6.387629011232284,-0.06493349455864583,-0.026672329808720474,0.09960567823343824
2010-10-15,5.677468477172929,3.073433298028052,6.292915796213899,-0.05356265356265366,-0.05124931570671476,0.0713519313304718
2010-10-22,5.382101807724549,2.055208139561427,5.518180070479858,-0.02430730478589449,-0.033667719692146325,0.03417092876732619
2010-10-29,3.8982032262392705,2.826805136885592,4.072943374654364,-0.010500704315533627,-0.03388824130264967,0.011455916473317673
2010-11-05,3.785300712881335,0.767569530452208,4.0373925554302,-0.010086641665589147,-0.007995118461411876,0.006526572473642744
2010-11-12,3.2336067022113317,3.647597312684301,5.012386337686223,0.013499480789200158,0.01295193824221208,-0.02042349238142893
2010-11-19,2.10788688380084,0.4568705551196647,4.422472215338076,0.013295469213889355,0.025746589652205998,-0.019029529816513846
2010-11-26,2.6990858544340495,0.3497311082762984,4.332905243076421,0.03998964669341287,0.0462715400549214,-0.050681003584229334
2010-12-03,2.1097750026791204,-0.17069538141072654,4.466703810362172,0.03696930111038532,0.0168575140713072,-0.04414279606669502
2010-12-10,3.6884969376064163,3.9257078265726952,5.558800971186203,0.025486680327868827,0.017270757153164285,-0.03355606674699685
2010-12-17,0.22538409476853544,1.7703855439328193,5.2695356821242,0.02382165605095521,0.0061102258431680045,-0.036824608190552666
2010-12-24,5.163817633560292,0.2414432027047912,6.138306354610734,0.0017421602787455193,-0.01462283952004284,-0.00943894887865282
2010-12-31,4.636429504324866,0.14276039187697795,5.994090331357488,-0.0044091710758377145,-0.017727613746370108,-0.0026091170002610076
2011-01-07,4.166352020477611,0.14421095854650506,5.875776411246134,0.011739727738229178,-0.010663132185619872,-0.023802327338673157
2011-01-14,4.784591468683922,0.1421689379640483,5.517481340172211,-0.0150553689187507,-0.012205896065007105,0.0147164801820594
2011-01-21,4.358317543623015,0.21404872132216185,4.644543534785262,-0.02844720496894404,-0.0035590279977111283,0.0381155663973165
2011-01-28,4.117569830469725,0.30087442701475486,3.752512816756295,-0.01138808047576867,0.011703235195963835,0.01748944280429021
2011-02-04,2.8298481152020907,0.27720113692174697,3.5366842712527293,-0.036662140476484306,-0.010356455967781342,0.05162938307918541
2011-02-11,3.0877190939781562,0.24897284093114597,4.07343775474075,-0.008842849924204033,0.005907052441229466,0.01289575000934473
2011-02-18,3.3895368185778763,0.2017495498696849,3.8294435127266886,-0.007032348804500543,0.005690761593413196,0.005764429431634799
2011-02-25,2.814493729448124,0.26902752471654695,2.475689932860921,-0.010879303724561362,-0.005296925418569409,0.010100268116208122
2011-03-04,3.5236701493811067,0.1383083517050039,3.018658891277173,-0.021014864172219205,0.0012169629127478654,0.029368467540114906
2011-03-11,2.6055919352425896,0.10499225574544331,2.7648354466559004,-0.021412184552638047,-0.01827660813478027,0.026607129677467034
2011-03-18,1.7026729456602254,-0.005827214918514301,0.34749200536222996,-0.024980685037342076,-0.029496869732723363,0.03522797795057131
2011-03-25,3.974210751662843,0.5360980604029155,3.5923282301926007,-0.013716356107660421,-0.004467989284856033,0.02421642062395457
2011-04-01,4.325075202696591,-0.11902303270637549,4.0091938666934,-0.0074607329842932835,0.021633446767136633,0.017590275294958824
2011-04-08,3.2733683306477666,-0.2557571940489058,4.6607514347150945,-0.02227142485022149,0.0342428168519584,0.041087026852151265
2011-04-15,1.4484573968781584,-0.5293609742803159,4.677357039780813,-0.011753829899630364,0.03126163394884429,0.017843289371606064
2011-04-22,5.29105511224285,-0.2653896190524697,5.8039340523539105,-0.029126213592232997,0.006393974792499257,0.0335132064754331
