,em_hsd,eu_hsd,us_hsd,usd,jpy,eur,state,state_0,state_1,state_2,state_3
2010-08-06,5.395099354251718,4.390084694946807,5.475478414638346,-0.0421679571173319,-0.0349847686474177,0.0512779931945872,3,0.05852695953859236,0.26215731134144427,0.06346965137476372,0.6158460777451996
2010-08-13,3.2219911382087814,3.872186532730348,4.952996281201727,0.0055764335070918,-0.0048490451825949,-0.0139565452717852,3,0.07567232161946813,0.2875451743954444,0.046994864055234606,0.5897876399298527
2010-08-20,5.229379736120933,2.978043805272345,4.99960094127796,0.0072762551540139,-0.0210941519464928,-0.0154179902378553,3,0.10074509969130478,0.27963562774927114,0.02104984055205531,0.5985694320073689
2010-08-27,6.197920120091185,3.146716283146512,4.938964017489786,0.016924208977189,-0.0145135902062668,-0.0216891477621091,3,0.14581944864068844,0.3573861606795028,0.03306793886244334,0.46372645181736555
2010-09-03,6.289706548180279,2.550638534677964,5.542620157915878,0.0210172864071631,-0.0140333310762872,-0.0292811441475348,3,0.20364965630368684,0.25286897917776396,0.03299597247077053,0.5104853920477787
2010-09-10,6.502106696608773,5.505724337527653,6.094176477296826,-0.0030138637733573,-0.023493128776974,-0.0056851597725936,3,0.07651199014166726,0.11130032199834311,0.20644285330052475,0.6057448345594649
2010-09-17,5.120704173635795,3.328226856408681,5.331111061668699,-0.0199855526125691,0.0027446858210697,0.026754800125905,3,0.27812282114068926,0.20831822264513442,0.030431621825074442,0.4831273343891019
2010-09-24,4.585437000869464,10.379589696026432,5.281286541526688,-0.0424505547515676,-0.0118524907586694,0.0568742655699177,3,0.0009454260252918452,3.0600140149138863e-13,0.982668094347761,0.01638647962664093
2010-10-01,5.287139913731254,-0.4635664320461075,5.633254533682984,-0.0488428745432398,-0.0129877831811173,0.0694789081885851,3,0.5905494966324218,3.5047713297237003e-06,0.05321028373362435,0.356236714862624
2010-10-08,5.882648089379082,0.6098857652836486,6.387629011232284,-0.0649334945586458,-0.0266723298087204,0.0996056782334382,3,0.36339543419814074,0.0007739020668687931,0.18592896174924772,0.44990170198574275
2010-10-15,5.677468477172929,3.073433298028052,6.292915796213899,-0.0535626535626536,-0.0512493157067147,0.0713519313304718,3,0.08246473328776821,0.7133682038982448,0.02519788367759468,0.17896917913639224
2010-10-22,5.382101807724549,2.055208139561427,5.518180070479858,-0.0243073047858944,-0.0336677196921463,0.0341709287673261,3,0.1641732343273448,0.25173732552739253,0.02333083262420335,0.5607586075210593
2010-10-29,3.8982032262392714,2.826805136885592,4.072943374654364,-0.0105007043155336,-0.0338882413026496,0.0114559164733176,3,0.0856200079363284,0.2721233241430547,0.011847201250392328,0.6304094666702247
2010-11-05,3.785300712881335,0.767569530452208,4.0373925554302,-0.0100866416655891,-0.0079951184614118,0.0065265724736427,3,0.22511054278149317,0.05430900446073177,0.036435911798529515,0.6841445409592456
2010-11-12,3.233606702211332,3.647597312684301,5.012386337686223,0.0134994807892001,0.012951938242212,-0.0204234923814289,3,0.14873671301221503,0.5045863953847891,0.04378582943832524,0.30289106216467054
2010-11-19,2.10788688380084,0.4568705551196647,4.422472215338076,0.0132954692138893,0.0257465896522059,-0.0190295298165138,3,0.4985525401049891,0.02031873141404387,0.03377027681742294,0.4473584516635441
2010-11-26,2.699085854434049,0.3497311082762984,4.332905243076421,0.0399896466934128,0.0462715400549214,-0.0506810035842293,3,0.45066344536637953,0.021449985156039037,0.031157970332088437,0.496728599145493
2010-12-03,2.1097750026791204,-0.1706953814107265,4.466703810362172,0.0369693011103853,0.0168575140713072,-0.044142796066695,3,0.26752026206296736,0.003642363547189552,0.02146621333414795,0.7073711610556951
2010-12-10,3.688496937606416,3.9257078265726952,5.558800971186203,0.0254866803278688,0.0172707571531642,-0.0335560667469968,3,0.09693916125374488,0.35903935016284066,0.05345122347765894,0.4905702651057556
2010-12-17,0.2253840947685354,1.770385543932819,5.2695356821242,0.0238216560509552,0.006110225843168,-0.0368246081905526,3,0.2836135489394374,0.3856909618086699,0.0975889358003305,0.23310655345156228
2010-12-24,5.163817633560292,0.2414432027047912,6.138306354610734,0.0017421602787455,-0.0146228395200428,-0.0094389488786528,3,0.526648584248216,0.0003015746945384764,0.03094687283259569,0.4421029682246497
2010-12-31,4.636429504324866,0.1427603918769779,5.994090331357488,-0.0044091710758377,-0.0177276137463701,-0.002609117000261,3,0.47908450704296773,0.00026327481737813515,0.032503076165382914,0.48814914197427123
2011-01-07,4.166352020477611,0.144210958546505,5.875776411246134,0.0117397277382291,-0.0106631321856198,-0.0238023273386731,3,0.4217843141272203,0.0003891216455087145,0.025970678947565107,0.5518558852797059
2011-01-14,4.784591468683922,0.1421689379640483,5.517481340172211,-0.0150553689187507,-0.0122058960650071,0.0147164801820594,3,0.38587354680650304,0.0005718786567200785,0.03882364708248056,0.5747309274542964
2011-01-21,4.358317543623015,0.2140487213221618,4.644543534785262,-0.028447204968944,-0.0035590279977111,0.0381155663973165,3,0.2921056451167949,0.0019857793461757595,0.03650952699394845,0.6693990485430809
2011-01-28,4.117569830469725,0.3008744270147548,3.752512816756295,-0.0113880804757686,0.0117032351959638,0.0174894428042902,3,0.3510667076091586,0.016782778074974636,0.030708138121222146,0.6014423761946446
2011-02-04,2.8298481152020907,0.2772011369217469,3.5366842712527293,-0.0366621404764843,-0.0103564559677813,0.0516293830791854,3,0.14887411238372586,0.013939335398323706,0.036231027262298474,0.8009555249556519
2011-02-11,3.087719093978156,0.2489728409311459,4.07343775474075,-0.008842849924204,0.0059070524412294,0.0128957500093447,3,0.21414058675003017,0.010042045919437645,0.024725214027460942,0.7510921533030712
2011-02-18,3.3895368185778763,0.2017495498696849,3.8294435127266886,-0.0070323488045005,0.0056907615934131,0.0057644294316347,3,0.23252189201053844,0.015351631591448556,0.030649606601561942,0.721476869796451
2011-02-25,2.814493729448124,0.2690275247165469,2.475689932860921,-0.0108793037245613,-0.0052969254185694,0.0101002681162081,3,0.17606276253329892,0.15959472908234748,0.041424036403267216,0.6229184719810864
2011-03-04,3.5236701493811067,0.1383083517050039,3.018658891277173,-0.0210148641722192,0.0012169629127478,0.0293684675401149,3,0.2727818983745413,0.036667817211493696,0.042007296485920026,0.648542987928045
2011-03-11,2.6055919352425896,0.1049922557454433,2.7648354466559004,-0.021412184552638,-0.0182766081347802,0.026607129677467,3,0.15159756684737205,0.08783942445564853,0.03173738072630791,0.7288256279706715
2011-03-18,1.7026729456602254,-0.0058272149185143,0.3474920053622299,-0.024980685037342,-0.0294968697327233,0.0352279779505713,3,0.17467460446114447,0.64171753508315,0.0872363717869631,0.09637148866874247
2011-03-25,3.974210751662843,0.5360980604029155,3.5923282301926007,-0.0137163561076604,-0.004467989284856,0.0242164206239545,3,0.18222609956895283,0.05626868971161191,0.03108284947730615,0.7304223612421291
2011-04-01,4.325075202696591,-0.1190230327063754,4.0091938666934,-0.0074607329842932,0.0216334467671366,0.0175902752949588,3,0.5064267701280268,0.0020479011331777084,0.021906064870045205,0.4696192638687503
2011-04-08,3.2733683306477666,-0.2557571940489058,4.660751434715095,-0.0222714248502214,0.0342428168519584,0.0410870268521512,0,0.704292628709287,2.8229771247732444e-05,0.00758092526878608,0.2880982162506792
2011-04-15,1.4484573968781584,-0.5293609742803159,4.677357039780813,-0.0117538298996303,0.0312616339488442,0.017843289371606,0,0.7151192066010931,6.744742629784771e-05,0.023353515430835053,0.26145983054177396
2011-04-22,5.29105511224285,-0.2653896190524697,5.803934052353911,-0.0291262135922329,0.0063939747924992,0.0335132064754331,0,0.7211317766694961,7.458249163473087e-06,0.050590906398978626,0.22826985868236177
2011-04-29,4.965626438843771,-1.1220454477032027,5.328426951176219,-0.0382434392720558,-0.0336664287413752,0.0401236736701569,0,0.689908198571067,1.8850443323608151e-06,0.04310636662036398,0.26698354976423666
2011-05-06,3.5301830906978835,-1.020150740523027,4.0985993753149,-0.0030638071133607,-0.048276681807918,-0.0117740487535391,0,0.5443303206045814,0.0002088260938234974,0.0024701133493493254,0.45299073995224587
2011-05-13,3.3889639509054548,-0.5573137418777151,4.384306768830024,0.012428170519845,-0.0281486861721023,-0.02154933481153,0,0.46821003524304416,0.0013298918409768187,0.0034432066602987105,0.5270168662556802
2011-05-20,3.691058241034753,-0.2719910991287044,4.120582867741147,0.0194594594594594,-0.0016494595454161,-0.0275487771365758,3,0.2507429429767991,0.0041435185340325436,0.011211696156887073,0.7339018423322812
2011-05-27,3.6296897159406503,-0.0897006032031139,4.141852374965483,0.0276977924036747,-0.005355164348147,-0.0322929333873801,3,0.32743646133074594,0.00918444261904221,0.007808011329056264,0.6555710847211557
2011-06-03,3.485746512861776,-0.1412862703831645,3.542086124844769,-0.0141635489043291,-0.0043406925884524,0.0228154152545336,3,0.21711070438167054,0.01100144639057904,0.028993770242505146,0.7428940789852453
2011-06-10,2.627528673655001,-0.1315755035416412,2.964052820137277,-0.0126715945089757,-0.0056937746866908,0.0160753487713338,3,0.1853286238765307,0.0319868940796027,0.030172804692642836,0.7525116773512238
2011-06-17,0.8175602446195469,-0.0829919984073398,1.8190965683935767,-0.0059650053022269,-0.0202545612843667,0.0110208406923351,3,0.20546827865366196,0.2670640730332669,0.028740010437791293,0.49872763787527974
2011-06-24,1.8831630923800984,-0.0665079801406512,2.841513395286446,0.0096064042695129,-0.0045177300575529,-0.0091454900865679,3,0.19283076195597904,0.06515982955452596,0.017392857908734204,0.7246165505807608
2011-07-01,2.417425061142512,-0.0840667374126869,3.8903266009295008,0.0077256709135269,0.0069131788739413,-0.0076518412242947,3,0.2004269871658484,0.009430855012625573,0.01937174461580379,0.7707704132057223
2011-07-08,3.641804303032054,-0.1637336799072748,4.145785599918776,0.0050802139037433,0.0038592062565927,-0.0054362977418456,3,0.2405090351611632,0.004550315046644271,0.019840618652581857,0.7351000311396108
