,em_hsd,eu_hsd,us_hsd,usd,jpy,eur,state,state_0,state_1,state_2,state_3,sim
2026-01-23,2.702710703126533,1.5897014269038716,3.084713255261844,-0.0043153577768254,-0.0054290550250695,0.0047143767254196,3,0.0671860283266462,0.3064287544707769,0.0223926324314551,0.6039925847711216,0.8657692639552677
2019-04-12,2.7745133658784296,2.811176273653375,3.736329390111548,0.0038302277432711,0.0050239985645716,-0.0020308154165378,3,0.0562881046187023,0.2854335940175267,0.0243384291230704,0.6339398722407003,0.8627872453196163
2018-06-22,2.214314798581792,1.6942126062527696,3.384406698458136,0.0035035566408323,0.00525618172677,0.000429110882252,3,0.0753065296732715,0.2668616721998352,0.0204423925410394,0.6373894055858538,0.8552058217246772
2025-12-12,1.1843706392597355,3.15452659273982,3.766964153943,-0.0090635353830351,0.0082823773011098,0.0102831081662506,3,0.0592267874031034,0.3814304240585102,0.0552972402761703,0.5040455482622159,0.8400603311574784
2023-11-17,4.261898959461473,0.3300326618961013,2.753573985556373,-0.0211561466801052,-0.0014680858162889,0.0297338115914671,3,0.2643884558743302,0.0638449579552102,0.1012302754040445,0.5705363107664149,0.8323998653877507
2017-10-13,3.98258363511223,3.9604585530039342,4.43617041611066,0.0132796342658105,0.0091118228156434,-0.0100477267018338,3,0.0714959456720492,0.1359813226108102,0.0401919586020572,0.7523307731150835,0.8316786812439322
2019-11-08,-15.034600737740089,2.9595685276058843,4.894899408681724,0.0005086469989825,0.0080247198265923,-0.0021735192899841,1,0.0025902689443185,0.7384682120395796,0.2589415190161019,3.5906104150666928e-25,0.8301680042576574
2017-09-01,-1.1703408525307766,2.295874913386468,4.335758409919302,-0.0078041479580927,-0.0037945521073314,0.0073904179408763,3,0.0834964870762563,0.7680429424150186,0.0780670476264371,0.0703935228822878,0.8234623719558029
2026-03-06,-6.6854813101985,-2.188507136188524,1.1533541687512454,0.0138580193172392,0.0036892154056544,-0.0167978336295168,1,0.6575548707064572,0.0222350347156829,0.319350192692954,0.0008599018849059,0.823290041418372
2017-11-24,4.275171910007666,4.021522605255177,4.7073475701748,-0.0225453013063631,-0.0188239433522452,0.0276055124892333,3,0.0231864337810812,0.2352437902897774,0.0667204275940532,0.674849348335088,0.8212197648192929
2026-08-14,2.247640579468196,2.749777802793324,3.882953897182772,-0.0108966406986552,-0.0189353120477848,0.011407841251803,3,0.0366867623516413,0.3629475303178864,0.0252889718035474,0.5750767355269247,
