,MSCI USA,MSCI EUROPE,MSCI EM,MSCI KOREA,MSCI JAPAN
2010-08-06,0.38446291432860435,0.1141242648621131,0.01918741538575519,0.20564043226169942,0.27658497316182795
2010-08-13,0.39062129285795394,0.11882891188916957,0.01679776368559053,0.19228119182189787,0.2814708397453881
2010-08-20,0.39208405041537286,0.11783925790632084,0.011711943973341068,0.18500860044459566,0.29335614726036957
2010-08-27,0.4016753950402417,0.1379553236576816,0.01611364716662988,0.15642353689184932,0.28783209724359754
2010-09-03,0.3808580916123609,0.12731769897419268,0.013213855995545233,0.17414185158938128,0.3044685018285199
2010-09-10,0.3354182513402073,0.10582890436120057,0.04184376643337511,0.2690654075499521,0.24784367031526483
2010-09-17,0.37008162413634443,0.12869767260415943,0.011502454917448437,0.17136656122027907,0.31835168712176853
2010-09-24,0.20013408160292592,0.15987378302993696,0.18439294034968662,0.450008778747556,0.0055904162698945286
2010-10-01,0.3159906109515431,0.13439738755558378,0.010022990495747702,0.1715347495742387,0.36805426142288666
2010-10-08,0.3061603681382088,0.12042421413824,0.034942911923829756,0.23945498695039033,0.29901751884933103
2010-10-15,0.46767810526142095,0.18990729260758982,0.024467723607038354,0.06814953330416913,0.24979734521978175
2010-10-22,0.3839649656920307,0.12119990071243879,0.011369413233070719,0.18061341429885638,0.30285230606360336
2010-10-29,0.39289006309376895,0.11370554792811985,0.00977805094300229,0.18851093382096648,0.29511540421414234
2010-11-05,0.3448277826126725,0.09651686494723222,0.00837592925620669,0.2259684027704417,0.32431102041344695
2010-11-12,0.4254784809100221,0.16453390941145002,0.02218931429774918,0.11657105029900815,0.27122724508177054
2010-11-19,0.3267460982288127,0.12437809994257493,0.006937036665814516,0.18073787217322823,0.36120089298956964
2010-11-26,0.329548436192771,0.11835035675740423,0.006478226822354226,0.18947180147594073,0.3561511787515298
2010-12-03,0.33637225271579374,0.09155900391076828,0.00416836773910321,0.22911036059821166,0.33879001503612294
2010-12-10,0.4010763951882704,0.13433415764379295,0.01998330844312996,0.16920304671771474,0.27540309200709195
2010-12-17,0.3903281138520692,0.16672648779089824,0.02899958083964908,0.13237608160079892,0.28156973591658463
2010-12-24,0.32240813238328514,0.12415487176453589,0.005854562536459597,0.1802654160561393,0.36731701725958005
2010-12-31,0.3243509332381108,0.11841063348611905,0.006145482850959838,0.1899858197272548,0.3611071306975555
2011-01-07,0.32801467706618503,0.11062757940684566,0.004923490815513525,0.20018741103920323,0.3562468416722525
2011-01-14,0.3277217141468867,0.1075662186760482,0.00733982315318368,0.20949581620168384,0.34787642782219763
2011-01-21,0.3326386197128031,0.0959245453047715,0.0069447870116641115,0.2273074693095457,0.33718457866121565
2011-01-28,0.3333897643384937,0.1051471128372798,0.006265010848058207,0.2104634575980369,0.3447346543781315
2011-02-04,0.34135063730871373,0.0801559761966317,0.007222724302200776,0.2523437540932807,0.3189269080991731
2011-02-11,0.3394397660924096,0.0863706163643493,0.004956528272121953,0.23848159998074098,0.33075148929037823
2011-02-18,0.3386053606311347,0.09018520996091993,0.006214579906782408,0.23437911905446077,0.3306157304467021
2011-02-25,0.36461820333495143,0.10889714362753111,0.012219227883678737,0.20714641545692314,0.3071190096969155
2011-03-04,0.33871049661185043,0.10001879964834934,0.008933949224572081,0.2224054639270492,0.32993129058817894
2011-03-11,0.35476185136721405,0.09260762908851773,0.008420458515851771,0.23037110762681293,0.3138389534016034
2011-03-18,0.44143633618557077,0.19572805602756063,0.034127673765244775,0.08065004284206113,0.2480578911795627
2011-03-25,0.34796544874941343,0.09096046726190454,0.007425817810298068,0.23300150725671273,0.32064675892167127
2011-04-01,0.32503312186227123,0.12098323849615224,0.004206710967749944,0.1822199918677959,0.36755693680603063
2011-04-08,0.3177802115759051,0.1436746288496495,0.0014633701320363823,0.14102826652330522,0.39605352291910373
2011-04-15,0.31486231905734824,0.14669897224906112,0.004423442385279555,0.14160868070829724,0.39240658560001396
2011-04-22,0.3103849587683448,0.15032580690017908,0.009531616582352324,0.1451638182996385,0.38459379944948524
2011-04-29,0.3129723101065153,0.1456555124415342,0.008127354294891939,0.1500616792950722,0.3831831438619865
2011-05-06,0.32595921421844504,0.12331102618490426,0.0005096461814195933,0.17183539200181872,0.37838472141341234
2011-05-13,0.3295073786252817,0.11415848996792595,0.0007232060702243277,0.18679765406930632,0.3688132712672617
2011-05-20,0.3388090131958689,0.08847388315534425,0.0022584322374229254,0.23051848050053225,0.3399401909108316
2011-05-27,0.3366794652889863,0.09848942447725548,0.0017590482620813992,0.21329824039610376,0.3497738215755731
