,US 1-3Y GOVT,US 5Y GOVT,US 10Y GOVT,US 30Y GOVT
2010-08-06,0.30476605905204934,0.31985427896729124,0.285986965800637,0.08939269618002242
2010-08-13,0.32359210440918057,0.3161545491426536,0.2752757197620521,0.08497762668611371
2010-08-20,0.3282452533404697,0.32515316740364275,0.2782011426333109,0.06840043662257672
2010-08-27,0.37397346513130525,0.2959243865002601,0.23913436757003464,0.09096778079839993
2010-09-03,0.330084996766921,0.32584309339911194,0.274149322776258,0.0699225870577092
2010-09-10,0.2057864451638688,0.32396515561581907,0.328580070213023,0.14166832900728907
2010-09-17,0.3203603071995395,0.33736119588686997,0.282790020305431,0.05948847660815964
2010-09-24,0.0031590121219242607,0.13518775799590568,0.29394752162950644,0.5677057082526636
2010-10-01,0.2628162367557374,0.3825109634828179,0.32388792664376115,0.03078487311768358
2010-10-08,0.2016000347456921,0.35261835601608577,0.3381743734661223,0.10760723577209994
2010-10-15,0.547771247224119,0.19109526756820763,0.10317411895639599,0.1579593662512774
2010-10-22,0.32437480707841054,0.3305692179530458,0.28094417558270907,0.06411179938583474
2010-10-29,0.32334953905840624,0.33074545428223756,0.28433038751529577,0.061574619144060365
2010-11-05,0.2309241637448671,0.38514081910554127,0.3519277726471087,0.032007244502482775
2010-11-12,0.44845439749052884,0.24735543314386657,0.1774496359303278,0.12674053343527683
2010-11-19,0.26080370480837267,0.385558270136712,0.3300007655354314,0.023637259519483873
2010-11-26,0.253612624303598,0.38786672404003697,0.3361652119422418,0.022355439714123213
2010-12-03,0.21466186852218425,0.40342447981670665,0.36873586391154944,0.01317778774955963
2010-12-10,0.36296053658480887,0.29141476605506367,0.24254991693069317,0.1030747804294344
2010-12-17,0.4011992565169713,0.2629625115506451,0.20191000676651663,0.13392822516586705
2010-12-24,0.2557983400872788,0.3914326029701774,0.33478538600609575,0.01798367093644799
2010-12-31,0.24735003471369676,0.39287444956952505,0.34090066122145257,0.018874854495325607
2011-01-07,0.2386943161683185,0.39700672757029176,0.34917251769099594,0.01512643857039377
2011-01-14,0.23043388268865336,0.3946293508920864,0.3523488604815721,0.022587905937688092
2011-01-21,0.2154635002994949,0.3985804346081233,0.3644210171064297,0.021535047985951936
2011-01-28,0.23419226817866715,0.3933784487232442,0.3512718216679931,0.021157461430095528
2011-02-04,0.19708466836332056,0.4006513411164813,0.37848793212147175,0.023776058398726364
2011-02-11,0.2082406767629583,0.40261805050386384,0.37279487829306324,0.01634639444011471
2011-02-18,0.21311976252141035,0.3985298579354855,0.36751457329306647,0.020835806250037593
2011-02-25,0.27587756959971954,0.3532060584738569,0.31486953756084735,0.056046834365576205
2011-03-04,0.2290708282540329,0.387063722574507,0.3521848362885609,0.03168061288289917
2011-03-11,0.23637646847907193,0.37909359395671094,0.348498794909008,0.03603114265520908
2011-03-18,0.5161201347996967,0.19144379388404043,0.11303744952043196,0.1793986217958309
2011-03-25,0.22548592643626392,0.3877941338100389,0.3574112843913521,0.02930865536234503
2011-04-01,0.2547684602603152,0.39432824206256184,0.3377913577416154,0.013111939935507497
2011-04-08,0.29012969121781623,0.3912876390068922,0.31415144829200803,0.004431221483283564
2011-04-15,0.289318942049403,0.3862537367553496,0.31087679621241393,0.013550524982833396
2011-04-22,0.2856762510650907,0.3781023081127078,0.30694865214121236,0.029272788680989165
2011-04-29,0.28159062499351784,0.3815198648878349,0.3119415217160781,0.024947988402569243
2011-05-06,0.26364024664748587,0.3990538433089558,0.3357910986914957,0.001514811352062605
2011-05-13,0.2509874183354448,0.4014391010883991,0.34527140478927915,0.002302075786876932
2011-05-20,0.21378882316725878,0.4069206520467309,0.37193581740544235,0.007354707380567991
2011-05-27,0.23012782694386064,0.4033228473427934,0.3601476574147168,0.0064016682986291415
2011-06-03,0.2085167677118942,0.4009619395381598,0.3715162615696295,0.019005031180316403
2011-06-10,0.21366852568684028,0.39541421171312996,0.3670139708567884,0.02390329174324137
2011-06-17,0.3384331398110963,0.3226389045018269,0.26861127821061415,0.0703166774764627
2011-06-24,0.2342188839854884,0.3886227953087039,0.3539712226232558,0.023187098082551944
2011-07-01,0.20648501184811685,0.40490823877748017,0.3754757625045702,0.013130986869832733
2011-07-08,0.21077076188670113,0.4046877294564507,0.3721203762977626,0.012421132359085525
2011-07-15,0.21366347635232533,0.3925501912922746,0.36656957065775164,0.02721676169764847
2011-07-22,0.1972750207979992,0.39240527167151373,0.3745336308193844,0.035786076711102746
2011-07-29,0.5098644506816126,0.22210910377385132,0.134905357045918,0.13312108849861812
2011-08-05,0.3706230892494476,0.15428692881737543,0.1508379314436837,0.32425205048949324
2011-08-12,0.001743765091587126,0.13142966262668185,0.2919824347982231,0.5748441374835079
2011-08-19,0.048499769730308694,0.165355666253545,0.2895566873693215,0.4965878766468248
2011-08-26,0.0750350436836634,0.1840665446037308,0.28790935512758997,0.4529890565850159
2011-09-02,0.5311819491909728,0.1846228650053321,0.1012075460462223,0.18298763975747276
2011-09-09,0.3077747494455612,0.2609531296010103,0.2301454325100472,0.20112668844338125
2011-09-16,0.4474643682361625,0.2520798296402622,0.16945042032946145,0.13100538179411378
2011-09-23,0.32556742445134645,0.36478162936889874,0.2743942931319085,0.03525665304784634
2011-09-30,0.23347122089472408,0.2925177761066683,0.2764427398153288,0.1975682631832789
2011-10-07,0.2797971080380713,0.22752146187524003,0.22485104936929273,0.26783038071739595
2011-10-14,0.24738264114668718,0.3746473037362588,0.3380203298679326,0.03994972524912131
2011-10-21,0.39871174133199616,0.21151905268375998,0.1708574657300623,0.21891174025418164
2011-10-28,0.26987934918043277,0.2993136817543243,0.27165405162041,0.15915291744483287
2011-11-04,0.35306095937115406,0.336872918967392,0.25130157908161305,0.058764542579840776
2011-11-11,0.40910076261027795,0.26845631626934946,0.2043374095489062,0.11810551157146636
2011-11-18,0.3956878318362666,0.28116396043770275,0.21875829455973625,0.10438991316629437
2011-11-25,0.3102866477110065,0.3510513887741297,0.2895124910332362,0.04914947248162764
2011-12-02,0.335620619707382,0.3592259938757212,0.2674637494967053,0.037689636920191574
2011-12-09,0.40141749817469735,0.2989446605408492,0.21014949928331983,0.0894883420011336
2011-12-16,0.2834551001512302,0.3862769949067744,0.3143856045734477,0.01588230036854762
2011-12-23,0.30605059710566707,0.35548946736474113,0.27810010717992967,0.06035982834966213
2011-12-30,0.3292630930665941,0.37407195590125486,0.2785467330782207,0.018118217953930347
2012-01-06,0.21841873134887488,0.4061523670946319,0.36848287172403,0.006946029832463188
2012-01-13,0.2634939610842919,0.3896491041492869,0.3294685991811395,0.017388335585281803
2012-01-20,0.32956740436390547,0.3688607206041498,0.2747575985674216,0.026814276464523234
2012-01-27,0.313856562107531,0.3602462993607576,0.2770355352167558,0.04886160331495564
2012-02-03,0.30089283748062384,0.35808245951954165,0.28316984282579527,0.05785486017403914
2012-02-10,0.26903235373223505,0.38730550072972214,0.323887756748099,0.019774388789943743
2012-02-17,0.3243378258171903,0.38287585294039644,0.2875043419371053,0.005281979305308072
2012-02-24,0.3420227370023788,0.3816977026163593,0.27600631255829755,0.0002732478229643873
2012-03-02,0.3418876443728445,0.3816875599169613,0.2760794231422187,0.0003453725679755365
2012-03-09,0.34150536837371415,0.38131424801004893,0.27602861917943683,0.0011517644368000495
2012-03-16,0.3393163848558802,0.3797229151780821,0.2761450847482167,0.004815615217821013
2012-03-23,0.33508740243446744,0.3765949465445707,0.2763304402570711,0.011987210763890832
2012-03-30,0.3244406674852463,0.36852171620677343,0.27672464132974417,0.03031297497823619
2012-04-06,0.21634759024207328,0.40274221391224757,0.366927062920296,0.01398313292538317
2012-04-13,0.22097578177307076,0.40545120371821075,0.36710283985676756,0.006470174651950902
2012-04-20,0.31853318551053955,0.3608348497655803,0.27532920144682077,0.045302763277059434
